Date, tu.1c_pvbp:internal ,fv.1c_pvbp:internal,ty.1c_pvbp:internal,us.1c_pvbp:internal
2007-10-22, 1.8992 , 4.2708 ,6.547, 11.48 
2007-10-23, 1.8912 , 4.2699 ,6.5451, 11.44 
2007-10-24, 1.8931 , 4.2858 ,6.5503, 11.54 
2007-10-25, 1.8889 , 4.2757 ,6.5619, 11.51 
2007-10-26, 1.8940 , 4.2641 ,6.5435, 11.47 
2007-10-29, 1.8757 , 4.2562 ,6.5376, 11.48 
2007-10-30, 1.8778 , 4.2495 ,6.5296, 11.47 
2007-10-31, 1.8634 , 4.2261 ,6.4818, 11.33 
2007-11-01, 1.8724 , 4.2464 ,6.5279, 11.49 
2007-11-02, 1.8703 , 4.2681 ,6.5598, 11.57 
2007-11-05, 1.8656 , 4.2548 ,6.5394, 11.52 
2007-11-06, 1.8607 , 4.2452 ,6.5181, 11.46 
2007-11-07, 1.8625 , 4.2591 ,6.5387, 11.46 
2007-11-08, 1.8607 , 4.2733 ,6.5706, 11.50 
2007-11-09, 1.8653 , 4.2691 ,6.5824, 11.58 
2007-11-13, 1.8516 , 4.2468 ,6.5543, 11.54 
2007-11-14, 1.8451 , 4.2383 ,6.5413, 11.53 
2007-11-15, 1.8540 , 4.2659 ,6.5923, 11.66 
2007-11-16, 1.8602 , 4.2595 ,6.588, 11.67 
2007-11-19, 1.8534 , 4.2778 ,6.6218, 11.75 
2007-11-20, 1.8776 , 4.2769 ,6.6295, 11.75 
2007-11-21, 1.8770 , 4.2819 ,6.6414, 11.78 
2007-11-23, 1.8332 , 4.2723 ,6.6355, 11.82 
2007-11-26, 1.8304 , 4.3020 ,6.7059, 12.06 
2007-11-27, 1.8612 , 4.2794 ,6.6587, 11.91 
2007-11-28, 1.8532 , 4.2580 ,6.6179, 11.81 
2007-11-29, 1.8550 , 4.2717 ,6.6539, 11.92 
2007-11-30, 2.0851 , 4.5386 ,6.9631, 12.62 
2007-12-03, 2.0890 , 4.5556 ,6.9913, 12.76 
2007-12-04, 2.0864 , 4.5596 ,7.0028, 12.80 
2007-12-05, 2.0841 , 4.5583 ,6.9964, 12.78 
2007-12-06, 2.0747 , 4.5400 ,7.0704, 12.65 
2007-12-07, 2.0570 , 4.5050 ,7.0541, 12.45 
2007-12-10, 2.0541 , 4.4871 ,7.1095, 12.35 
2007-12-11, 2.0617 , 4.5295 ,7.2402, 12.51 
2007-12-12, 2.0512 , 4.5019 ,7.1967, 12.41 
2007-12-13, 2.0419 , 4.4911 ,7.348, 12.26 
2007-12-14, 2.0278 , 4.4763 ,7.3023, 12.15 
2007-12-17, 2.0273 , 4.4804 ,7.3218, 12.20 
2007-12-18, 2.0276 , 4.4962 ,7.2757, 12.33 
2007-12-19, 2.0275 , 4.4940 ,7.2391, 12.39 
2007-12-20, 2.0282 , 4.4968 ,7.269, 12.48 
2007-12-21, 2.0134 , 4.4542 ,7.2044, 12.25 
2007-12-24, 2.0058 , 4.4468 ,7.1824, 12.17 
2007-12-26, 1.9997 , 4.4234 ,7.1107, 12.04 
2007-12-27, 2.0002 , 4.4378 ,7.0706, 12.17 
2007-12-28, 1.9968 , 4.4468 ,7.0097, 12.32 
2007-12-31, 2.0176 , 4.4548 ,7.0401, 12.40 
2008-01-02, 2.0186 , 4.4873 ,7.0967, 12.63 
2008-01-03, 2.0043 , 4.4795 ,7.093, 12.57 
2008-01-04, 2.0003 , 4.5026 ,7.1617, 12.62 
2008-01-07, 1.9851 , 4.4897 ,7.1143, 12.69 
2008-01-08, 2.0036 , 4.4862 ,7.0977, 12.69 
2008-01-09, 1.9844 , 4.5002 ,7.0678, 12.77 
2008-01-10, 1.9806 , 4.4802 ,7.0864, 12.58 
2008-01-11, 1.9768 , 4.4971 ,7.124, 12.70 
2008-01-14, 1.9742 , 4.4918 ,7.0716, 12.72 
2008-01-15, 1.9734 , 4.4998 ,7.0766, 12.83 
2008-01-16, 1.9717 , 4.5027 ,7.0632, 12.78 
2008-01-17, 1.9725 , 4.5159 ,7.0951, 12.94 
2008-01-18, 1.9645 , 4.5131 ,7.1405, 12.88 
2008-01-22, 1.9723 , 4.5583 ,7.1837, 13.00 
2008-01-23, 1.9742 , 4.5719 ,7.1538, 13.15 
2008-01-24, 1.9555 , 4.5238 ,7.0777, 12.80 
2008-01-25, 1.9508 , 4.5216 ,7.0725, 12.90 
2008-01-28, 1.9488 , 4.5091 ,7.025, 12.95 
2008-01-29, 1.9439 , 4.4858 ,6.9856, 12.77 
2008-01-30, 1.9391 , 4.4735 ,6.9587, 12.70 
2008-01-31, 1.9442 , 4.4888 ,7.0061, 12.81 
2008-02-01, 1.9367 , 4.4868 ,6.9944, 12.84 
